test,specification,coef_any_cart_before,se,pval,coef_norm_position,N,R2
cart_spillover,was_carted ~ any_cart_before + controls,0.5352249093225075,0.0011990183854938075,0.0,-0.006504002501573996,5212952,0.44141776627545415
cart_spillover,was_purchased ~ any_cart_before + controls,0.2607252682215642,0.0010886265376598618,0.0,0.024304639974471614,5212952,0.07617365029827339
attention_saturation,was_carted ~ cum_carts_before + controls,0.09121860526889734,0.0005528711068135306,0.0,-0.0077726639768146396,5212952,0.21168683762682838
attention_saturation,was_purchased ~ cum_carts_before + controls,0.04603798881491017,0.00033175709997741785,0.0,0.02337859207301682,5212952,0.04391722568376355
session_early_commitment,2nd-half was_carted ~ early_cart_in_session + controls,0.48824548602170786,0.0016034528762570953,0.0,0.0194118070554065,2765857,0.3520974393969044
session_early_commitment,2nd-half was_purchased ~ early_cart_in_session + controls,0.2657193821397544,0.001465221474055658,0.0,0.059729396678648114,2765857,0.06920620954435763
