dataset,specification,outcome,coef_lpm,coef_logit,margeff_logit,se_lpm,se_logit,N
Diginetica,Click ~ early_exposure,was_clicked,0.002315490616127135,0.124489703987908,0.002250319388246349,0.0002338341434587083,0.012233398840009064,1790608
Diginetica,Purchase ~ early_exposure,was_purchased,-3.807275910615789e-05,-0.10956005523362604,-3.9038890067321524e-05,3.111748166687928e-05,0.09190741588396682,1790608
Diginetica,Click ~ rank_position,was_clicked,-0.0005184360333447125,-0.029204476969736416,-0.0005135378654397113,1.1837489236539237e-05,0.0006617748923086213,1790608
Diginetica,Purchase ~ rank_position,was_purchased,-4.707510244495008e-06,-0.013276955894771757,-4.7056542750178495e-06,1.6021579542263721e-06,0.004629088079125079,1790608
REES46,Cart ~ early_exposure,was_carted,-0.0018253637715584733,-0.08163156701663413,-0.0018522002606520956,0.00012549279686177318,0.005697579933785066,6548827
REES46,Purchase ~ early_exposure,was_purchased,-0.008186656603017895,-0.23873497716543873,-0.00852330303119441,0.00015349392284484705,0.004679676655161564,6548827
