test,description,actual_coefficient,actual_pvalue,placebo_mean,placebo_std,permutation_pvalue,n_permutations,N,conclusion,mean_pos_purchased,mean_pos_not_purchased,coefficient,pvalue,cart_rate_early,cart_rate_late,cart_ratio,purch_rate_early,purch_rate_late,purchase_ratio,purchase_coef,purchase_pval
Permutation Test (Diginetica),"Shuffle rank within query, re-estimate Click ~ early_exposure",0.0020368439511538267,1.8351751961389288e-18,0.0020368439511538263,4.336808689942018e-19,1.0,200.0,1788413,Cannot reject null – actual within placebo range,,,,,,,,,,,,
Reverse Causation Check (REES46),norm_position ~ was_purchased; checks if purchased items cluster early,,,,,,,7136240,Purchased items viewed LATER → no reverse causation (coefficient=0.0903),0.5458729756294566,0.4555398768644497,0.09033309876500639,0.0,,,,,,,,
Coveo Formal Falsification,High-rho platform should show no wedge; purchase ratio >= 1 expected,,,,,,,8005467,Coveo purchase ratio = 0.886 (< 1): some wedge may exist. Unexpected under high-rho assumption.,,,,,0.058441927078606515,0.06611410179620818,0.8839555479215225,0.012485175085570314,0.014090459587347002,0.8860729494431674,-0.0016052845017766801,1.7774542439816952e-78
