dataset,specification,outcome,coef,se_hc1,se_clustered,pval_hc1,pval_clustered,N,n_clusters
REES46,Cart ~ early_exposure,was_carted,-0.0018253637715584733,0.00012549279686177318,0.00011767450842300152,6.231321599321494e-48,2.878957222174794e-54,6548827,1040284
REES46,Purchase ~ early_exposure,was_purchased,-0.008186656603017895,0.00015349392284484705,0.00014212117117781722,0.0,0.0,6548827,1040284
REES46,Purchase|Cart ~ early_exposure,was_purchased,-0.026434535457787817,0.0028149984238821624,0.0026448047139378756,5.9657159750272005e-21,1.6046329067112776e-23,152225,48836
Diginetica,Click ~ early_exposure,was_clicked,0.002315490616127135,0.0002338341434587083,0.0002385559104968057,4.069006918966299e-23,2.8349353679671093e-22,1790608,63650
Diginetica,Purchase ~ early_exposure,was_purchased,-3.807275910615789e-05,3.111748166687928e-05,3.10428404570968e-05,0.22113459294151483,0.220026140031097,1790608,63650
Diginetica,Click ~ rank_position,was_clicked,-0.0005184360333447125,1.1837489236539237e-05,1.2667629968641039e-05,0.0,0.0,1790608,63650
Diginetica,Purchase ~ rank_position,was_purchased,-4.707510244495008e-06,1.6021579542263721e-06,1.6103035582601364e-06,0.003300909227395309,0.003462667640512456,1790608,63650
