category,N,cart_rate_early,cart_rate_late,cart_diff_pp,purchase_rate_early,purchase_rate_late,purchase_diff_pp,cond_purchase_early,cond_purchase_late
electronics,2317968,0.057465977830907476,0.052936953070108865,0.4529024760798611,0.05929644123551654,0.057255069239090545,0.20413719964259974,0.5252639083737725,0.5401563180564294
appliances,763996,0.010625442367117233,0.010454866538415293,0.01705758287019396,0.030693804270892674,0.034186380305398584,-0.3492576034505909,0.4033306255077173,0.43917340521114107
computers,390143,0.007398221005815942,0.006965006606325236,0.043321439949070645,0.021690044474854602,0.02299952785819642,-0.13094833833418168,0.3930635838150289,0.42249080399369415
apparel,296711,0.0,0.0,0.0,0.007152261721452322,0.013211710906904761,-0.6059449185452439,,
furniture,263379,0.0008631522829108541,0.0007963249872696346,0.006682729564121951,0.014546654650232924,0.016083597872132958,-0.15369432219000337,0.27941176470588236,0.22448979591836735
auto,118407,0.01664917191509214,0.013898301054558857,0.2750870860533281,0.022189176580359224,0.023219317330670185,-0.10301407503109615,0.3380035026269702,0.3900769888793841
